市场id,市场名称
1,['内蒙包头市友谊蔬菜批发市场']
3,['成都市农产品中心批发市场']
4,['安徽合肥周谷堆农产品批发市场']
5,['济南市八里桥蔬菜批发市场']
8,['江苏凌家塘农副产品批发市场']
20,['浙江良渚蔬菜市场开发有限公司']
30,['北京新发地农副产品批发市场信息中心']
33,['西安新土门蔬菜批发市场']
34,['广州白云山农产品综合批发市场']
35,['江苏联谊农副产品批发市场']
36,['山西省长治市紫坊农产品综合交易市场有限公司']
38,['陕西咸阳新阳光批发市场']
39,['河北秦皇岛昌黎农副产品批发市场']
40,['长春蔬菜中心批发市场集团有限公司']
43,['山东滕州蔬菜批发市场']
48,['黑龙江佳木斯蔬菜副食品批发市场']
49,['浙江嘉善曹安农产品批发有限公司']
50,['山东寿光蔬菜批发市场']
51,['北京八里桥农产品中心批发市场有限公司']
52,['浙江金华农产品批发市场']
54,['浙江嘉兴蔬菜批发交易市场']
55,['浙江省慈溪市蔬菜批发市场']
56,['乐亭县冀东果菜批发市场']
57,['宁波市蔬菜副食品批发交易市场']
58,['郑州陈砦蔬菜批发交易市场']
59,['江苏宜兴市瑞德蔬菜果品批发市场有限公司']
60,['河南郑州毛庄蔬菜批发市场']
61,['山东章丘蔬菜批发市场']
62,['陕西西安市胡家庙蔬菜批发市场']
63,['辽宁朝阳市果菜批发市场']
64,['安徽蚌埠海吉星农产品物流有限公司']
65,['江西乐平市蔬菜批发大市场']
67,['广西南宁五里亭蔬菜批发市场']
68,['襄樊市蔬菜批发市场']
69,['河北省永年县南大堡蔬菜批发市场']
70,['北京朝阳区大洋路综合市场']
71,['上海农产品中心批发市场经营管理有限公司']
72,['绍兴市蔬菜果品批发交易市场有限公司']
73,['山东鲁中蔬菜批发市场']
74,['南京白云亭农副产品批发市场']
75,['徐州农副产品中心批发市场']
76,['哈尔滨地利农副产品有限公司']
77,['四川金堂县官仓镇综合（果蔬）市场']
78,['安徽和县皖江蔬菜副食品批发市场']
79,['北京京丰岳各庄批发市场']
80,['四川成都西部禽蛋批发市场']
81,['宁夏吴忠东郊农产品批发市场']
82,['安徽淮南市安成鑫海批发大市场']
83,['北京水屯农副产品批发市场']
84,['北京大洋路农副产品批发市场(畜禽报价)']
85,['北京顺鑫石门农副产品批发市场']
86,['北京八里桥农产品中心批发市场(畜禽报价)']
87,['北京新发地农产品有限公司(畜禽报价)']
88,['秦皇岛昌黎农副产品批发市场(畜禽报价)']
89,['河北唐山市荷花坑市场经营管理有限公司']
90,['石家庄桥西蔬菜中心批发市场有限公司']
91,['张家口怀来县京西果菜批发市场']
92,['河北石家庄高邑蔬菜大市场']
93,['邯郸市(馆陶)金凤禽蛋农贸批发市场']
94,['河北涿州农副产品批发交易中心(畜禽蛋价格)']
95,['青岛市华中蔬菜批发市场']
96,['青岛市城阳蔬菜水产品批发市场有限公司']
97,['山西大同振华蔬菜批发市场']
98,['西安市朱雀农产品交易中心']
99,['大庆市农副产品综合批发市场']
100,['大连熟食品交易中心']
101,['呼和浩特市东瓦窑农副产品批发市场有限责任公司']
102,['安徽舒城蔬菜批发市场']
103,['乌鲁木齐北园春（集团）有限责任公司北园春市场']
104,['新疆克拉玛依农副产品批发市场']
105,['湖南长沙马王堆农产品股份有限公司']
106,['江西九江浔阳大市场']
107,['东莞市江南农副产品批发市场']
108,['广西梧州竹湾农副产品批发市场']
109,['江苏苏州南环桥农副产品批发市场']
110,['江苏海安农副产品批发市场']
111,['北京水屯农副产品批发市场中心']
112,['张家口市宣化盛发蔬菜水产副食品综合交易市场']
113,['邢台市食品蔬菜集团顺兴蔬菜批发市场']
114,['河北石家庄桥西蔬菜中心批发市场']
115,['辽宁沈阳粮食批发市场']
116,['新疆克拉玛依农副产品批发市场']
117,['武汉白沙洲农副产品大市场有限公司']
118,['湖北省黄石农产品中心批发市场']
119,['湖北华中粮食中心批发市场']
120,['九江粮食批发市场']
121,['东莞信立国际农产品贸易城']
122,['无锡三里桥粮油批发市场']
123,['浙江省农都农副产品批发交易市场']
124,['福州市亚峰蔬菜批发市场']
125,['云南元谋蔬菜批发交易市场']
126,['临清市桑树园蔬菜专业批发市场']
127,['河南新野县蔬菜批发市场']
128,['山东省泰安市岱岳区房村镇西良甫村西红柿蔬菜批发市场']
129,['广西南宁市五里亭蔬菜批发市场']
131,['郑州农产品物流配送中心有限公司']
132,['焦作市张村无公害蔬菜批发市场']
133,['山东金乡大蒜专业批发市场']
134,['河北馆陶金风市场']
135,['保定市大型瓜果蔬菜批发市场']
137,['唐山金玉农产品综合交易中心']
138,['河北省永年县河西堡蔬菜批发市场']
139,['永年县科源蔬菜专业合作社基地市场']
140,['河北省邯郸市曲周县广夏蔬菜批发市场']
141,['河南省新野县蔬菜批发交易市场']
142,['潍坊市南下河蔬菜批发市场']
143,['宁波江北名特优农副产品批发交易市场']
144,['河北省永年县义井堡蔬菜批发市场']
145,['承德市蔬菜果品批发市场']
146,['寿光洛城贾家蔬菜市场']
147,['焦作市蒋村无公害蔬菜批发市场']
148,['天津市王顶堤水产批发市场']
149,['重庆市江北区观音桥农贸市场管理处']
150,['徐州农副产品中心批发市场']
151,['唐山市荷花坑市场经营管理有限公司']
152,['四川南充川北农产品交易有限公司']
153,['江苏联谊农副产品批发市场']
154,['湖北潜江市江汉农产品大市场']
155,['河北唐山市荷花坑市场 ']
156,['北京合美渔都农产品批发中心']
157,['江苏省吕四港水产品批发市场']
158,['安徽舒城蔬菜批发市场']
159,['安徽砀山农产品中心惠丰批发市场']
160,['天津韩家墅海吉星农产品物流有限公司']
161,['青岛抚顺路蔬菜副食品批发市场股份有限公司']
162,['新疆克拉玛依农副产品批发市场 ']
163,['新疆兵团农二师库尔勒市']
164,['江苏省南京农贸中心']
165,['江苏凌家塘市场发展有限公司']
166,['湖南长沙马王堆蔬菜批发市场']
167,['湖南长沙马王堆蔬菜批发市场']
168,['浙江省慈溪市蔬菜批发市场']
170,['浙江宁波市蔬菜副食品批发交易市场']
171,['温州菜篮子农副产品批发市场']
172,['浙江嘉兴蔬菜批发交易市场']
173,['山西太原市城东利民果菜批发市场']
174,['江苏苏州南环桥农副产品批发市场']
175,['河北保定工农路蔬菜果品批发市场']
176,['江西上饶市赣东北农产品批发大市场']
177,['天津市红旗农贸综合批发市场']
178,['山西长治市金鑫瓜果批发市场']
179,['大连熟食品交易中心']
180,['浙江省温州水产品批发交易市场']
183,['唐山金玉农产品批发市场']
184,['宁波海田果品批发市场']
185,['兰州张苏滩瓜果批发市场']
186,['河北省怀来县京西果菜批发市场有限责任公司']
187,['浙江金华农产品批发市场']
188,['新疆克拉玛依农副产品批发市场']
189,['天津市红旗农贸综合批发市场有限公司']
190,['浙江金华农产品批发市场']
191,['河北秦皇岛昌黎农副产品批发市场']
192,['杭州果品有限公司艮山门批发市场']
193,['阳泉蔬菜副食有限公司']
194,['山西省大同市振华蔬菜批发市场有限责任公司']
195,['江苏淮海蔬菜批发交易市场']
196,['贵州遵义坪丰农副产品综合批发市场']
197,['山东青岛华中蔬菜批发市场']
198,['内蒙古鄂尔多斯市富兴商贸']
199,['北京朝阳区大洋路综合市场']
200,['甘肃永登大同批发市场']
201,['韶关市翁源粤北农副产品批发市场']
202,['山东青岛平度南村蔬菜批发市场']
203,['山东济南匡山农产品综合批发市场']
204,['山东东江果蔬菜批发市场']
205,['湖南吉首市蔬菜果品批发大市场']
206,['张北县坝上蔬菜产业有限公司']
207,['山东青岛城阳蔬菜水产品批发市场']
208,['江苏省南京农贸中心股份有限公司']
209,['浙江农近农产品有限公司']
210,['湖南长沙马王堆农产品股份有限公司']
211,['湖南长沙马王堆农产品股份有限公司']
212,['苏州市南环桥市场发展有限公司']
213,['山西省长治市紫坊农产品综合交易市']
214,['宁夏吴忠东郊农产品批发市场']
215,['宁夏吴忠东郊农产品批发市场']
216,['内蒙包头市友谊蔬菜批发市场']
217,['北京新发地农副产品批发市场']
218,['湖南郴州七星蔬菜批发大市场']
219,['济南堤口果品批发发展有限责任公司']
220,['新疆海宝农畜产品批发市场有限公司']
221,['山西晋城绿欣农产品批发交易中心']
222,['河北唐山市荷花坑市场']
223,['北京新发地双桥农产品批发市场']
224,['陕西汉中皇冠过街楼蔬菜批发市场']
225,['山西省太谷县蔬菜购销合作社']
226,['河北青县曹寺蔬菜批发市场']
227,['北京锦绣大地玉泉路粮油经营有限公司']
228,['北京京丰岳各庄农副产品批发市场']
229,['北京城北回龙观商品交易市场']
230,['北京日上综合商品批发市场有限公司']
231,['天津市静海县范庄子蔬菜批发中心']
232,['天津碧城农产品批发市场']
233,['天津武清大沙河批发市场']
234,['天津市金钟蔬菜批发市场']
235,['天津何庄子鲜活农产品中心批发市场']
236,['中国沧州红枣批发市场']
237,['河北保定工农路蔬菜果品批发市场']
238,['河北保定工农路蔬菜果品批发市场']
239,['河北三河市建兴农副产品批发市场']
240,['威县冀南瓜菜有限公司']
241,['河北魏县天仙果菜批发交易市场']
242,['河北唐山市滦南县姚王庄青河沿果菜批发市场']
243,['河北秦皇岛海阳农副产品批发市场']
244,['河北固安京南刘园蔬菜批发市场']
245,['河北饶阳县瓜菜果品交易市场服务有限公司']
246,['呼和浩特市美通首府无公害农产品批发市场']
247,['内蒙古五原县鸿鼎农贸有限责任公司']
248,['内蒙赤峰西城市场']
249,['晋城市绿盛农工商实业有限公司农副产品批发市场']
250,['山西运城蔬菜果品批发市场']
251,['山西省太原市河西农产品有限公司']
252,['山西右玉玉羊批发市场']
253,['山西运城果品中心市场']
254,['山西太原丈子头农产品物流园（原城东利民）']
255,['山西襄汾县农副产品批发市场']
256,['山西长治市金鑫瓜果批发市场']
257,['山西临汾尧丰农副产品批发市场']
258,['太原市九州农副产品批发市场有限公司']
259,['孝义市绿海蔬菜批发销售有限公司']
260,['山西晋中汇隆商贸有限公司']
261,['山西汾阳市晋阳农副产品批发市场']
262,['山西呂梁市离石区马茂庄常青蔬菜瓜果综合市场']
263,['山西省长治市紫坊农产品综合交易市场有限公司']
264,['山东滨州(六街）鲁北蔬菜批发市场']
265,['济南七里堡市场有限公司']
266,['中国.寿光农产品物流园']
267,['山东威海市农副产品批发市场']
268,['山东青岛莱西市东庄头蔬菜批发市场服务有限公司']
269,['山东青岛黄河路农产品批发市场']
270,['山东德州黑马农贸水产批发市场']
271,['山东腾州蔬菜批发市场']
272,['山东肥城蔬菜批发市场']
273,['山东宁津县东崔蔬菜批发市场']
274,['山东临邑县临南蔬菜大市场']
275,['山东龙口果蔬批发市场']
276,['山东章丘刁镇蔬菜批发市场']
277,['山东冠县社庄江北第一蔬菜批发市场']
278,['山东威海水产品批发市场']
279,['山东泰安良庄镇蔬菜批发市场']
280,['辽宁阜新市瑞轩蔬菜农副产品综合批发市场']
281,['辽宁省凌源市八里堡蔬菜果品批发市场有限公司']
282,['沈阳盛发菜果批发有限公司']
283,['辽宁鞍山宁远农产品批发市场']
284,['辽宁北宁市窟窿台蔬菜批发市场']
285,['辽宁北票蔬菜批发市场']
286,['大连水产品交易市场有限公司']
287,['大连棉麻有限公司果菜批发市场']
288,['长春果品中心批发市场']
289,['吉林长春江山绿特优农产品储运批发市场']
290,['吉林扶余三井子杂粮批发市场']
291,['齐齐哈尔农副产品中心批发市场有限公司']
292,['黑龙江省牡丹江牡达农副产品有限公司']
293,['黑龙江鹤岗市万圃源蔬菜有限责任公司']
294,['上海曹安菜篮子股份有限公司']
295,['江苏南京市紫金山副食品交易市场']
296,['南京市惠民桥市场管理有限公司']
297,['江苏无锡朝阳农产品大市场']
298,['江苏盐城市阜宁古河粮油批发交易市场']
299,['江苏丰县农林局']
300,['南京农副产品物流配送中心有限公司']
301,['江苏省建湖县水产批发市场']
302,['无锡天鹏菜篮子工程有限公司']
303,['安徽六安市裕安区紫竹林农产品批发市场']
304,['安徽安庆市龙狮桥蔬菜批发市场']
305,['安徽亳州农产品有限责任公司']
306,['马鞍山市安民农副产品贸易有限公司']
307,['浙江杭州农副产品物流中心']
308,['温州菜篮子农副产品批发市场']
309,['浙北果蔬批发交易中心']
310,['浙江农都农副产品批发交易市场']
311,['浙江嘉兴水果市场']
312,['三门峡金河农产品批发交易中心']
313,['河南信阳市平桥区农业局(河南信阳长台关花生批发市场)']
314,['河南南阳果品批发交易中心']
315,['河南濮阳宏进农副产品批发市场有限公司（原河南濮阳蔬菜瓜果批发市场）']
316,['河南商丘市农产品中心批发市场']
317,['湖北浠水农产品批发市场']
318,['湖北黄石农产品中心批发市场']
319,['湖北鄂州市蟠龙蔬菜批发市场']
320,['湖北宜昌金桥农产品有限公司果菜批发市场']
321,['湖北省孝感市南大农产品批发市场']
322,['湖北省洪湖农贸市场']
323,['武汉武商皇经堂农副产品批发市场有限公司']
324,['襄阳市洪沟农副产品股份有限公司']
325,['湖北潜江市江汉果蔬批发有限公司']
326,['湖北省洪湖市闽洪水产品批发交易市场服务有限公司']
327,['湖北十堰堰中蔬菜批发市场']
328,['湖南岳阳花板桥市场开发有限公司']
329,['红星实业集团有限公司红星农副产品大市场']
330,['湖南常德甘露寺蔬菜批发市场']
331,['湖南衡阳市西园农副产品批发大市场有限公司']
332,['湖南益阳市团洲蔬菜批发市场']
333,['江西上饶市赣东北农产品批发大市场']
334,['江西赣州南北大市场']
335,['江西永丰县农产品批发中心市场']
336,['南昌深圳农产品中心批发市场有限公司']
337,['柳州市柳邕农副产品批发市场有限公司']
338,['广西田阳农副产品综合批发市场']
339,['广州江南果菜批发市场经营管理有限公司']
340,['茂名粤西农副产品综合交易中心']
341,['广东东莞市大京九农副产品中心批发市场']
342,['广东汕头农副产品批发中心市场']
343,['广东江门市新会区水果食品批发市场有限公司']
344,['福建福鼎闽浙边界农贸中心市场']
345,['福建省福州市海峡蔬菜批发市场']
346,['新疆兵团农二师库尔勒市孔雀农副产品综合批发市场']
347,['新疆兵团农四师界梁子66团农贸市场']
348,['新疆乌鲁木齐凌庆蔬菜果品有限公司']
349,['新疆绿珠九鼎农产品经营管理有限公司']
350,['新疆兵团第五师三和农副产品综合批发市场']
351,['青海西宁仁杰粮油批发市场有限公司']
352,['青海西宁古城台批发市场']
353,['甘肃腾胜农产品集团']
354,['甘肃武山县蔬菜事业管理局']
355,['甘肃靖远县瓜果蔬菜批发市场']
356,['甘肃秦安县北大果品市场']
357,['甘肃天水市瀛池果菜批发市场']
358,['宁夏西吉将台马铃薯专业批发市场']
359,['宁夏银川北环蔬菜果品综合批发市场管理有限公司']
360,['陕西泾云现代农业股份有限公司云阳蔬菜批发市场']
361,['重庆观音桥市场有限公司']
362,['贵州铜仁玉屏牲畜产地批发市场']
363,['贵州省遵义虾子辣椒批发市场']
364,['贵阳五里冲农副产品批发市场']
365,['云南通海金山蔬菜批发市场']
366,['云南华潮实业有限公司水产品批发市场']
367,['云南昆明呈贡龙城农产品经营股份有限公司']
368,['四川广安市邻水县农产品交易中心']
369,['四川成都龙泉聚和(国际)果蔬菜交易中心']
370,['四川成都西部禽蛋批发市场']
371,['四川省凉山州会东县堵格牲畜市场经营有限责任公司']
372,['绵阳市高水农副产品批发有限公司']
373,['四川彭州蔬菜批发市场']
374,['四川国际农产品交易中心']
375,['四川彭州市三界丰碑蔬菜产销专业合作社丰碑']
376,['四川省泸州市仔猪批发市场(泸州市农业局)']
377,['四川省江油仔猪批发市场']
378,['新疆焉耆县光明农副产品综合批发市场']
379,['山东宁阳县白马蔬菜批发市场']
380,['苏州市南环桥市场发展有限公司']
381,['广州江村农贸综合批发市场']
382,['阜阳农产品中心批发市场']
383,['四川雅安市汉源县九襄农产品批发市场']
384,['大连双兴商品城有限公司']
385,['河南安阳豫北蔬菜批发市场']
386,['吉林省辽源市仙城物流园区有限公司']
387,['山西新绛县蔬菜批发市场']
388,['运城蔬菜批发市场']
389,['云南昆明呈贡龙城农产品经营股份有限公司']
390,['陇西县清吉洋芋批发交易市场有限责任公司']
391,['福建厦门同安闽南果蔬批发市场']
392,['山东威海市农副产品批发市场']
393,['山东淄博市鲁中蔬菜批发市场']
394,['安徽省淮北市中瑞农产品批发市场']
395,['邵阳市江北农产品批发大市场']
396,['北京锦绣大地农副产品批发市场']
397,['云南元谋县蔬菜交易市场有限责任公司']
398,['济南唐王韩西蔬菜批发市场']
400,['寿光市耀文蔬菜有限公司']
401,['江苏建湖农副产品批发市场']
402,['浙江新农都现代农产品物流中心']
403,['北京新发地双桥农副产品批发市场有限公司']
404,['安徽裕安紫竹林农产品批发市场']
405,['福建福州粮食批发市场']
406,['山东德州黑马农贸批发市场']
407,['新疆粮油中心批发市场']
408,['大连盛兴水产品交易市场']
409,['巴彦淖尔市四季青农产品批发市场']
410,['河南万邦国际农产品物流股份有限公司']
411,['通辽丰盛农产品物流园']
412,['江苏徐州淮海蔬菜批发交易市场']
413,['唐山市金匙荷花坑市场经营管理有限公司']
414,['辽宁阜新市蔬菜批发市场']
415,['河北省邢台市食品蔬菜集团公司顺兴蔬菜批发市场']
416,['山东匡山农产品综合交易市场管理有限公司']
417,['吴忠市鑫鲜农副产品市场有限公司']
418,['天津红旗农贸批发市场']
419,['天惠超市']
420,['湖北武汉白沙洲农副产品大市场有限公司']
421,['北京农产品中央批发市场']
422,['山东青岛华中蔬菜批发市场']
423,['玉林宏进农副产品批发市场有限公司']
424,['青岛市黄河路市场经营服务有限责任公司']
425,['辽宁省北票市庄头营蔬菜批发市场']
426,['山西省太原市河西农副产品市场']
427,['黑龙江牡丹江牡达农副产品有限公司']
428,['山东鲁东果品批发市场']
429,['山东莱西东庄头蔬菜批发市场']
430,['河北衡水市农业信息中心']
431,['无锡锡澄果品批发交易市场']
432,['无锡朝阳股份有限公司农产品批发市场']
433,['北京东方盛泽东郊农副产品批发市场']
434,['杭州粮油物流中心批发交易市场']
435,['福建古田食用菌批发市场管理所']
436,['浙江义乌农村经济发展有限公司']
437,['安徽蒙城新发地农产品物流批发市场']
438,['厦门蔬菜农副产品批发市场']
439,['广东虎门富民农副产品批发市场']
440,['四川省绵阳市高水农副产品批发市场']
441,['鲁南蔬菜产业有限公司']
442,['上海浦南农副产品批发市场']
443,['河南省焦作市博爱县孝敬镇蒋村绿色蔬菜批发市场']
444,['辽西农产品交易中心']
446,['四川绵阳市果品批发市场']
447,['河北邯郸意蓝德农产品批发市场']
448,['宁波象山中国水产城']
449,['河南郑州陈砦花卉市场']
450,['北京大红门京深海鲜批发市场']
451,['历城区田园农产品专业合作社']
452,['永年县农产品蔬菜产业集团有限公司 ']
453,['浙江金华农产品批发市场']
454,['北京盛华宏林粮油批发市场有限公司']
455,['江西南方粮食交易市场']
456,['周口市黄淮港农产品批发市场有限公司']
457,['四川省达州市塔沱农副产品批发市场']
458,['青藏高原农副产品集散中心']
459,['河北张家口市京北农产品综合市场']
460,['河北承德围场镇南蔬菜批发市场']
461,['山西五台县东冶镇蔬菜瓜果批发市场']
462,['山西稷山县格富达农产品批发市场']
463,['山西榆次汇隆农产品综合市场有限公司']
464,['山西省朔州大运果菜批发市场']
465,['滕州市农副产品物流中心有限公司']
466,['中国寿光地利农产品物流园有限公司']
467,['山东聊城东昌府永安蔬菜批发市场']
468,['金乡凯盛国际农产品物流园']
469,['牡丹江地利农副产品有限公司']
470,['上海市江桥批发市场经营管理有限公司']
471,['江苏邳州(欢乐买)新城农产品批发市场']
472,['蚌埠海吉星农产品物流有限公司']
473,['舟山水产品中心批发市场']
474,['河南三门峡市苹果批发交易市场']
475,['湖北黄商集团股份有限公司（黄商三利农产品有限责任公司）']
476,['两湖绿谷物流股份有限公司']
477,['广西新柳邕农产品批发市场有限公司']
478,['广东江门水产冻品副食批发市场']
479,['佛山中南农产品交易中心']
480,['海口南北蔬菜批发市场有限公司']
481,['新疆兵团第七师137团绿衡蔬菜瓜果批发市场']
482,['新疆吐鲁番市盛达商贸有限公司干鲜果蔬批发市场']
483,['新疆兵团农四师界梁子66团农贸市场']
484,['新疆九鼎恒兴蔬菜经营管理有限公司']
485,['青海百德投资发展有限公司']
486,['甘肃武山县蔬菜事业管理局']
487,['甘肃酒泉春光农产品市场有限责任公司']
488,['兰州大青山蔬菜瓜果批发市场服务有限公司']
489,['西安德鑫农产品市场有限公司']
490,['西部欣桥农产品物流中心']
491,['拉萨仁鑫贸易发展有限公司']
492,['四川南充川北农产品交易有限公司']
493,['四川彭州市三界丰碑蔬菜产销专业合作社']
494,['四川资博农副产品股份有限公司']
495,['贵阳地利农产品物流园有限公司']
496,['遵义金土地绿色产品交易有限公司']
497,['重庆双福国际农贸城']
